region_name,latitude,longitude,climate_type
Ilocos Norte,2014307.872688144,259919.60557115017,Type II
Ilocos Sur,1908543.166960184,239193.18670257373,Type II
La Union,1834897.529461681,225176.60791000072,Type I
Pangasinan,1770759.4860298363,212371.0826687485,Type I
Batanes,2272985.5071616927,384087.8847942306,Type I
Cagayan,2000974.717877085,368879.1321397361,Type IV
Isabela,1878417.9714218176,389406.813672216,Type IV
Nueva Vizcaya,1803579.319513705,304671.4615599309,Type III
Quirino,1802023.680871185,349934.41044259025,Type III
Bataan,1622310.0156283386,225825.4932225695,Type I
Bulacan,1656875.368796734,291215.5736732363,Type III
Nueva Ecija,1727844.3138207016,287903.5412634701,Type III
Pampanga,1666145.05536983,247063.22513076436,Type I
Tarlac,1712821.0332119074,229204.9820933492,Type I
Zambales,1691990.0044855045,193266.4618875161,Type I
Aurora,1760830.990715771,360774.0276473547,Type I
Batangas,1537484.8795472323,287139.1836671329,Type I
Cavite,1576998.3258765067,270022.02933429816,Type I
Laguna,1575040.386288986,323754.02581190364,Type I
Quezon,1566321.960678998,388105.330936272,Type I
Rizal,1616719.9992802548,312857.01540948893,Type III
Albay,1460413.2954643627,566717.3016286267,Type III
Camarines Norte,1563583.0564170503,470612.5156480782,Type III
Camarines Sur,1515051.770958625,528462.6862621361,Type III
Catanduanes,1524089.0119245858,633658.0671557246,Type III
Masbate,1359166.354365823,560111.5651877294,Type III
Sorsogon,1421204.477220457,600765.2815243059,Type III
Aklan,1283489.0807170356,418030.3338006713,Type III
Antique,1230110.5249131187,398243.3723749749,Type III
Capiz,1256909.2897583176,459942.2937643921,Type III
Iloilo,1216873.9435145136,456918.9112712728,Type III
Negros Occidental,1139753.9999621478,498521.7201286824,Type III
Guimaras,1168325.652011854,457779.65001598286,Type III
Bohol,1089497.712896533,631323.921865564,Type III
Cebu,1144756.6966169304,582638.8471352948,Type III
Negros Oriental,1061917.989905913,503664.6712548916,Type III
Siquijor,1015380.912309362,564670.0453134776,Type III
Eastern Samar,1288610.5235928416,759625.2036269242,Type III
Leyte,1213700.6152478217,691884.7576219362,Type III
Northern Samar,1372680.8197303738,694787.1508942816,Type III
Samar,1310281.2486676252,711415.3415631376,Type III
Southern Leyte,1138325.893767115,724728.419594648,Type III
Biliran,1282372.9058750828,660630.3653941746,Type III
Zamboanga del Norte,889735.3422091262,478682.8011321556,Type III
Zamboanga del Sur,848826.4171500037,499263.5415507428,Type III
Zamboanga Sibugay,850561.2726356398,469719.75068679947,Type III
City of Isabela (Not a Province),735237.0961726384,388009.6847135278,Type III
Bukidnon,886893.0532527792,721204.5716388287,Type III
Camiguin,1014318.6342823622,688741.5994270642,Type III
Lanao del Norte,887394.1057914636,614359.18609936,Type III
Misamis Occidental,920181.4473349436,576004.2912479206,Type III
Misamis Oriental,954700.8064405298,697125.8255767847,Type III
Davao del Norte,839327.5856269017,791564.331740028,Type III
Davao del Sur,776173.9910652895,759099.6759840805,Type III
Davao Oriental,802834.978369649,864273.497588364,Type III
Davao de Oro,838265.875901025,833619.711129084,Type III
Davao Occidental,674698.1498563933,781200.0659720005,Type III
Cotabato,797239.1314203658,706527.312377912,Type III
South Cotabato,695027.4328800392,705018.5153699296,Type III
Sultan Kudarat,722572.5274600238,658255.5236653694,Type III
Sarangani,670276.9288629027,738904.4231277041,Type III
"NCR, City of Manila, First District (Not a Province)",1615115.7452118073,282986.00025240105,Type III
"NCR, Second District (Not a Province)",1621276.8213846274,291790.49755272386,Type III
"NCR, Third District (Not a Province)",1627330.4235220496,284038.99121842696,Type III
"NCR, Fourth District (Not a Province)",1601735.144750724,287195.47483729414,Type III
Abra,1944866.8655472463,266841.5837074934,Type II
Benguet,1830351.9503695187,254417.93211162364,Type I
Ifugao,1863657.2114388552,308976.3673068408,Type III
Kalinga,1928053.3241258496,317256.27255026286,Type III
Mountain Province,1891724.6183330973,300930.8503239516,Type III
Apayao,2002805.7550677385,308221.93699900364,Type IV
Agusan del Norte,999270.0918891628,778763.870409707,Type IV
Agusan del Sur,931938.8201372832,800539.6041010909,Type IV
Surigao del Norte,1070218.4380250676,800429.5066181091,Type IV
Surigao del Sur,971491.8564492431,842559.7488560139,Type IV
Dinagat Islands,1125451.7472057743,785158.0120289314,Type IV
Marinduque,1480639.2422813002,388683.6701956445,Type IV
Occidental Mindoro,1434949.6156469886,271465.68735803023,Type IV
Oriental Mindoro,1434015.489134397,311641.4054669142,Type IV
Palawan,1105445.207828095,32348.460467463705,Type IV
Romblon,1374853.4042484595,416803.2619718661,Type IV
Basilan,725816.1536145312,392659.1985535046,Type IV
Lanao del Sur,862054.5213058366,647333.3689767767,Type IV
Sulu,658412.8138848405,284593.99385724834,Type IV
Tawi-Tawi,579989.2448513657,156376.5135822672,Type IV
Maguindanao del Norte,794674.5030107435,637274.8884687728,Type IV
Maguindanao del Sur,759615.9507251879,669194.2127249661,Type IV
,789853.730625107,683039.0724768168,Type IV
